# col0 col1
0.5920178943004295 0.318638
0.6308507756232048 0.141676
0.6753172317287893 0.0382065
0.7189166860148611 -0.0217505
0.7587597870350051 -0.0559113
0.8104751441839659 -0.0678682
0.8738388877167674 -0.0663968
0.947658653658843 -0.0712578
1.066761864900117 -0.0335677
1.3297049298864967 -0.0137533
1.711778556225991 -0.00463326
0.592797210695045 0.125004
0.6294371239370617 0.0776484
0.676126370759378 -0.040346
0.7189772424368686 -0.111953
0.7589361032621733 -0.157298
0.8102587362203844 -0.168564
0.8732165214568649 -0.152088
0.9470414052552204 -0.120399
1.072253574943263 -0.0504012
1.335209088016799 -0.0125581
1.7096777687558575 -0.00380203
